word	file	lines
XZ	02_ggplot2.Rmd	410
XZ	03_customization.Rmd	497
YAML	10_dataviz_project.Rmd	82
Yau's	01_good_plots.Rmd	248
yay	10_dataviz_project.Rmd	246
YdM	02_ggplot2.Rmd	425
YGTA	02_ggplot2.Rmd	387
yJDb	05_exploratory_to_explanatory.Rmd	470
yMUc	07_tables_in_R.Rmd	196
YmWr	02_ggplot2.Rmd	420
yrq	05_exploratory_to_explanatory.Rmd	30
ZARe	03_customization.Rmd	502
Zbt	05_exploratory_to_explanatory.Rmd	476
zC	03_customization.Rmd	497
zElE	02_ggplot2.Rmd	404
ZHsZ	07_tables_in_R.Rmd	196
ZINO	03_customization.Rmd	492
zkcs	02_ggplot2.Rmd	398
Zstp	02_ggplot2.Rmd	404
zU	02_ggplot2.Rmd	398
zvvp	03_customization.Rmd	487
ZxpK	03_customization.Rmd	507
Zy	07_tables_in_R.Rmd	196
ZzLQ	05_exploratory_to_explanatory.Rmd	470
ZzW	03_customization.Rmd	502
